Co je to Programovací jazyk?,Je prostředek pro zápis algoritmů jež mohou být provedeny na počítači,Druh hodnot kterých může proměnná nabývat,Pojmenovaná část operační paměti do níž se ukládá hodnota,Identifikátor označující příkazy daného jazyka
Co je to Programování?,Proces vývoje algoritmu jehož zakódování do kompatibilní podoby a vložení do stroje,Způsob jakým jsou počítačem interpretovány instrukce,Technika která slouží k vytvoření hardwaru,Soubor specifických číselných hodnot používaných k reprezentaci dat
Co je to Program?,Reprezentace algoritmu, posloupnost instrukcí srozumitelných pro počítač Jiným slovem,Základní komponenta počítačového systému,Typický výstup periferního zařízení
Co je to Algoritmus?,Sada kroků která definuje postup provedení úkolu (takovým algoritmem je i např recept na vaření),Matematický výraz pro souhrn číselných hodnot,Typ datové struktury,Zjednodušený model reality používaný v informatice
Co je to Proměnná?,Pojmenovaná část operační paměti (nejčastěji RAM) která má předurčený datový typ a do níž se ukládá hodnota Hodnota proměnné může být v běhu programu změněna,Speciální typ algoritmu,Jednoduchá matematická operace,Stav neprůchodného kódu
Co je to Konstanta?,Pojmenovaná hodnota která nelze v běhu programu měnit (např číslo π rychlost světla ve vakuu DPH),Speciální typ algoritmu,Stav proměnné, která se může měnit v průběhu programu
Co je to Identifikátor?,Pojmenování prvků v programu Identifikátory mají v různých programovacích jazycích různá omezení co se týče povolených znaků Označují například názvy proměnných,Speciální typ algoritmu,Sada kroků definující postup provedení úkolu,Jednotka paměti v počítači
Co je to Klíčové slovo?,Rezervovaný identifikátor označující příkazy daného jazyka – for int while atd To že jsou rezervované znamená že je programátor nemůže použít pro název své proměnné atd,Sada kroků definující postup provedení úkolu,Jednotka paměti v počítači,Speciální typ algoritmu
Co je to Datový typ?,Druh hodnot kterých může proměnná nabývat,Sada kroků definující postup provedení úkolu,Jednotka paměti v počítači,Speciální typ algoritmu
Co je to Hodnota?,Údaj vzniklý buďto matematickou operací nebo na základě změření fyzikální či jiné veličiny,Druh hodnot kterých může proměnná nabývat,Sada kroků definující postup provedení úkolu,Speciální typ algoritmu
Co je to Objekt?,Množina proměnných funkcí a procedur které spolu určitým způsobem souvisí,Druh hodnot kterých může proměnná nabývat,Sada kroků definující postup provedení úkolu,Speciální typ algoritmu
Co jsou to Vlastnosti objektu?,Vlastnostmi jsou proměnné a metody objektu,Druh hodnot kterých může proměnná nabývat,Sada kroků definující postup provedení úkolu,Speciální typ algoritmu
Co je to Deklarace proměnné?,Vytvoření proměnné,Druh hodnot kterých může proměnná nabývat,Sada kroků definující postup provedení úkolu,Speciální typ algoritmu
Co je to Metoda?,Podprogram který primárně pracuje s proměnnými „mateřského“ objektu,Druh hodnot kterých může proměnná nabývat,Sada kroků definující postup provedení úkolu,Speciální typ algoritmu
Co je to Konstruktor?,Speciální metoda která se volá při vytváření nových instancí třídy,Druh hodnot kterých může proměnná nabývat,Sada kroků definující postup provedení úkolu,Speciální typ algoritmu
Co je to Setter?,Metoda která slouží pro nastavení hodnoty,Druh hodnot kterých může proměnná nabývat,Sada kroků definující postup provedení úkolu,Speciální typ algoritmu
Co je to Getter?,Metoda která slouží pro navrácení hodnoty,Druh hodnot kterých může proměnná nabývat,Sada kroků definující postup provedení úkolu,Speciální typ algoritmu
Co je to Přetěžování?,Více metod se stejnými názvy ale s jinými parametry Nelze metodu přetížit pouze změnou typu návratové hodnoty,Druh hodnot kterých může proměnná nabývat,Sada kroků definující postup provedení úkolu,Speciální typ algoritmu
Co je to Rekurze?,Technika která spočívá v opakovaném volání stejné funkce dokud není dosaženo určitého podmíněného kritéria,Typ proměnné používaný pro ukládání textových hodnot,Speciální typ algoritmu používaný pro třídění dat,null
Co je to Factory Metoda?,Název metody sloužící k vytváření a vracení instancí objektů určité třídy,Speciální typ algoritmu používaný pro třídění dat,Technika která spočívá v opakovaném volání stejné funkce dokud není dosaženo určitého podmíněného kritéria,Typ proměnné používaný pro ukládání textových hodnot
Co je to Regex?,Zkratka pro regulární výrazy což jsou vzory používané pro vyhledávání a manipulaci s textem,Speciální typ algoritmu používaný pro třídění dat,Technika která spočívá v opakovaném volání stejné funkce dokud není dosaženo určitého podmíněného kritéria,Název metody sloužící k vytváření a vracení instancí objektů určité třídy
Co je to git,Distribuovaný verzovací systém pro správu zdrojového kódu a spolupráci vývojářů,null,null,null
Co je to GitHub?,Webová platforma a cloudový hosting služba která umožňuje správu verzí a spolupráci na softwarových projektech pomocí systému Git,null,null,null
Co je to ArrayList, Dynamický seznam který umožňuje ukládat a manipulovat s objekty v Javě,null,null,null
co je to LinkedList, Lineární datová struktura která obsahuje spojené uzly přičemž každý uzel ukazuje na následující uzel v seznamu,null,null,null
co je to TreeSet, Implementace rozhraní Set v Javě která udržuje prvky v seřazeném stromovém uspořádání (například podle přirozeného pořadí nebo pomocí definovaného komparátoru),null,null,null
co je to HashSet, Implementace rozhraní Set v Javě která ukládá prvky do tabulky hash hodnot což umožňuje rychlé vyhledávání vkládání a odstraňování prvků,null,null,null
co je to Pole, Jednorozměrná datová struktura v programování která umožňuje ukládat a manipulovat s více prvky stejného typu pod jedním identifikátorem,null,null,null
